hotel_id,review_text_positive,review_text_negative,review_score,traveler_type
1,"""Location, facilities, room and staff were all excellent.""","""Property needs more bi-lingual staff to cater to international travellers""",10,Couple
1,"""The staff were very nice. The cleaning lady Gul'zhan was very attentive, reacted quickly to my requests and overall took a good care of my needs, so thanks to her.""","""it is overpriced for Kazakhstan.""",9,Business-taveler
1,"""Proximity to our daughter who is studying at Kazakh Ablai Khan University of International Relations and World Languages. Great views from wonderful room, nice gym and spa, friendly staff and proximity to Almaty shops and attractions.""","""Not a dislike - rather constructive criticism for better clarity and more options for dining for those with celiac disease (gluten allergy).""",9,Family
1,"""Our favorite part about the hotel was the view onto the stunning mountain range surrounding Almaty. We requested mountain view rooms, and the view was everything we hoped it would be and more. The view was stunningly beautiful and unobstructed by any other structures nearby. Most of the staff were very friendly and welcoming, and the rooms were comfortable.""","""The hotel looks a bit old and tired. Could use a facelift to give it a more modern feel. The service in the restaurant can be slow, and at times unfriendly.""",7,Couple
1,"""Comfortable room and view not enough amenities""","""Garbage you locked the mini bar on valentine day just because I refuse a deposit? I would like to also use the fridge and glasses rather than your 1$ fridge options you know? """,3,Couple
1,"""views of the mountain were good""","""The Service was very poor. Room given to me was very smelly and was not changed despite several requests. They don't even have a basic first aid box.""",1,Family
4,"""Amazing location, Greenish yard  Best one so far almaty""","""Little pricey if you book in short time most time over booked you need to book before one month to get nice price for sure""",10,Family
4,"""Surrounded by nature with breathtaking Alatau mountain views, a lake, and stunning sunsets. The best views are from the “Quarter” restaurant side."" ",""" Check-in on Sunday was quite busy, which led to longer waiting times and some confusion in the queue. Better crowd management during peak periods would enhance the arrival experience.""",10,Family
4,"""The property had great view of the mountains. It had a lake and was huge to walk around. It was very relaxing and the staff were very courteous.""","""The food options were limited for vegetarians.""",9,Couple
4,"""Location is beautiful, territory is rich, SPA zone great""","""The staff was incompetent. We had 5 rooms booked. 3/5 were ready only at 15:30 after a lot of hurrying up the reception staff. 4th room was also given at same time, but the lock was broken - it took us more than an hour to organize fixing it, I needed to go back to the reception and back to the room 5 times, it was exhausting. """,6,Family
4,"""Everything outside the hotel itself is just beautiful. Air is fresh. So quiet. Guests are super friendly, mostly families.""","""Hotel Staff communication level, professionalism and proactivity doesn't meet the standards. I've paid $350 per night and was expecting some degree of hospitality and professional looks since this is the most expensive resort in town.""",5,Single
4,"""Pool and spa zone is nice, breakfast is very good""","""Unfortunately, the staff was not very much professional. On the day of leaving they just kept annoyingly asking me when shall I leave. """,3,Single
4,"""Location and clean""","""Staff need more training. Especially at breakfast service""",7,Business-taveler
2,"""The location and nature are perfect  Pool floor is not slippery by places which is much better now!""","""Private, but still not professional big tennis tournament did not give a chance to guests to enjoy the game even for 5-10 minutes. Both Tennis Courts were busy for all day which is unacceptable especially when you booking.com actually says you may play Tennis during your stay.""",7,Single
156,"""Excellent service, hotel is very comfortable, great location not far from the business and financial center of Almaty.  Rooms are spacious, equipped with all necessary for comfortable stay and work. Breakfast is excellent, good choice for all tastes. Also, a sauna downstairs and a small pool is great.""","""WiFi connections in some rooms is weak. Also, the bath needs some refreshment.  Finally, sometimes it took 5-7 minutes for the hot water to appear in the tap. Not critical but unpleasant.""",9,Single
156,"""Excellent, spacious suite with very comfortable bed that can accommodate family of 4""","""Breakfast choices were OK but could be a bit better, especially for those who eats cereals and nuts""",9,Family
156,"""Breakfast, room service, luggage storage, check-in, and check out. Rooms were spacious and clean. Towels were changed often and overall good location, bar, and service.""","""Bench for the bench press at the gym was broken. Fitness center could be a little better with 1 or 2 extra equipment.""",9,Family
156,"""Location and rooms we’re spacious""","""Staff curtesy missing and even breakfast was not good. Very few options and no warm food. All food was cold. House keeping were not good""",7,Family
156,"""Good place , can walk and find food n coffee nearby""","""The staff isn’t communicative, and 4nights we stay there the warm water is not coming and there is no pressure off water, we even cannot take a shower for 2days during summer. We asking the staff but they dont give us good answer, but the room service is so kind and good . Even though we are walking they say “good morning”""",4,Family
156,"""The hotel was good, rooms were clean, location was good, food was excellent.""","""The staff was purely non cooperative, have to call 10 times to get water, to get washroom cleaned, to get cutlery removed and for other services too.""",4,Couple
156,"""Location""","""Service, noisy rooms and staff couldn’t do anything to help, old towels, beds were not made, very noisy doors on a floors. We could smell smoke from the above bathroom.""",3,Family
156,"""The location is good and the hotel is overall good too. Rooms are clean, staff is friendly.""","""Wi-Fi and cellular data connection in the hotel is awful. It was almost impossible to use internet in the room. Also there was black mold in the bathroom and towels were dirty.""",7,Single
20,"""We loved our stay at the Ritz and it exceeded all our expectations. Staff were lovely, Xmas celebrations were lovely, food amazing and facilities great""","""Little crowded""",10,Family
20,"""Little bit too formal staff members.
Excellent location, great breakfast and wellness amenities.""","""cigarette smell in the toilet""",9,Family
20,"""Location is the best , rooms and stuff was perfect""","""I didn't like the room service (restaurant)""",10,Single
298,"""Perfect location, clean. Nice very kind and polite staff.""","""Rooms a bit small and bigger space would be more comfortable for sure. But in general it doesn’t affect a good impression.""",9,Couple
298,"""Great value hotel which is clean and tidy in a quiet location. Decent breakfast. Nearly by is a supermarket, restaurants and a couple of bars.""","""A little out of the new part of the city but using YendexGo it was cheap enough rather than a long walk.""",9,Single
298,"""Clean big rooms. A litlle bit fareway from city center. Fríendly staff""","""Location fareway from city center""",8,Single
298,"""in general, relaxed way, arriving at night I was given a bottle of water and told to register in the morning.""","""there were teacups in the room but not a kettle, so no way to get tea in the evening. And the way to manage the TV was more or less beyond my understanding.""",6,Single
298,"""Location""","""Beware Terrible staff. They steal money. They didn't accept payment by card although even at the reception it's written that they accept cards.""",1,Single
298,"""Quiet, great breakfast, very friendly staff""","""Far from centre but on the other hand, close to the Ishim River which was beautiful, every night I spent some time there enjoying the scenery and people watching. If I'd stayed in the centre I would have missed this gem. Plus the walking was very good for me :-)""",8,Single
298,"""Even though the room was basic, it was very comfortable, clean and more than satisfactory. It was serviced every day despite me telling reception that it didn’t need it. The bathrobe and slippers were a nice addition and the heating was perfect. Always nice and warm in my room.""","""Mentioning to reception that I didn’t need my room serviced everyday but it was still done anyway.""",7,Single
298,"""The location was good. The breakfast was served by a lovely lady which was the best part of our stay.""","""One of the receptionist was not so professional and didn't even bother saying a simple hello or bye when we passed by the reception.""",7,Group
31,"""Pretty much everything was great. Nice spacious rooms, good WIFI, comfy bed, hot water and good water pressure, everything was clean. ""","""The breakfast is a bit eh.. It's not really varied, and it's also a bit weird, cause the two main trays are more like lunch options than breakfast? Only two types of (similar) salami as options for cold cuts, food in general not seasoned well enough.""",9,Single
31,"""The room was very spacious""","""It would have been more convenient if the room had a refrigerator to store food. Additionally, the bar selection could be improved to better reflect the standards of a 4-star hotel. Wi-fi worked with interruptions on the 22nd floor.""",9,Single
31,"""Food nice facilities,  good Helpful staff mostly, Bar open 24/7""","""Staff at bar .. lazy and disinterested on Thursday and Friday.. more interested in flirting with his girlfriend!""",8,Group
31,"""Location is perfect, huge parking lot. No problem with accessing at any time, good internet speed.""","""Bad odor from the washroom, had to keep ventilation ON and always vlose the door.""",7,Family
31,"""Good location""","""The mattress was really thin and uncomfortable.  The water pressure in the shower was really little which meant it was difficult to shower. """,6,Single
31,"""Well, it was cozy bed with a lot of space inside""","""The furniture was old, the wallpaper was peeling off the walls, and overall the room looked poorly maintained. I didn’t enjoy my stay because the Wi-Fi was weak, and the staff were unfriendly and indifferent, showing no care when I made requests. The elevator was also quite scary""",3,Couple
31,"""Property is clean and old city district location is not bad""","""Property is old and needs renovation. There’s no fridge and bar inside the room.""",3,Couple
31,"""Location was good""","""Staff and room services are a big disappointment. Non cooperative and no interest to make stay comfortable for the international tourist. Properly is also old.""",2,Couple
278,"""I like almost everything of this hotel; the location, foods, staff, room view etc.""","""The only thing that I might comment was the air-conditioning in the room. It gets a bit warm during day time.""",10,Group
278,"""Very good location, large room, the executive lounge was excellent, staff was kind and helpful.""","""The coffee in the breakfast room could be better, like in the executive lounge. The rooms should be cleaned on time, without having to say anything.""",9,Family
278,""" Clean, Usefull location""","""it was very loud and noisy, due to the construction. the internet was very bad, it dropped often.""",8,Single
278,"""Very polite staff""","""It was not clean in the sauna, gym. Wet and dirty towels in the steam room even in the early morning. Seems like left from the evening. Pads in the gym are very old and filthy. Very old blanket, towels and robes.""",6,Family
278,"""the location is great!   breakfast is good! the view is great! thank you""","""the hotel is not Marriot anymore, so sometimes there is smell, maybe not so clean, some staff is not so friendly.""",5,Couple
278,"""The location is excellent, it is in the very center.""","""The quality of the infrastructure is pretty poor (damaged shower, out of service facilities in the SPA, ruined items,...), lacking services in general (scarce room service menu, no small freezer integrated in the fridge,...) """,4,Single
278,"""Beautiful city view and good location""","""Dust on the furniture, dust under the bed, dust everywhere because housekeeping do they work superficially. Very indifferent staff. The elevators really slow, it’s been a while when you get on the highest floor. Sad, old and unkempt hotel. And the breakfast is tasteless.""",3,Single
278,"""only the location.""","""The property is old but it is poorly maintained, the hallways have a dusty smell, the carpets are stained, even the tea or coffee cups are small...the value does not meet what is shown in the photos.""",4,Couple
21,"""The staff were great,room was fantastic and spa facilities also superb""","""The location is quite a way from tourists spots,but taxis are cheap""",10,Group
21,"""We love the restaurant and the room. Staff was very helpful especially our butler who was always ready to help us. The room is spacious too. Also, thank you for making my husband's birthday special by preparing a small cake for him and the note was a great touch too.""","""Was expecting to swim at the swimming pool but was only inform the day before we arrived.""",9,Group
21,"""The design of the room, spa amenities, live pianist in the evening.""","""Breakfast was fair. There was no description of allergens in food. The stuff in the hotel, especially in the restaurant should wear a mask if they have a cold. The terrace was not ready for breakfast after the rain in the evening before. Although there was no rain at night and early in the morning everything had to be prepared for guests. Wet terrace floor and sitting. In general service was poor in the restaurant. In the spa as well. One bedside table was missing in our room.""",5,Family
21,"""Friendly Staff""","""Check-in was a disaster""",8,Couple
21,"""The design of the room, spa amenities, live pianist in the evening.""","""Breakfast was fair. There was no description of allergens in food. The stuff in the hotel, especially in the restaurant should wear a mask if they have a cold. The terrace was not ready for breakfast after the rain in the evening before. Although there was no rain at night and early in the morning everything had to be prepared for guests. Wet terrace floor and sitting. In general service was poor in the restaurant. In the spa as well. One bedside table was missing in our room.""",5,Family
21,"""staff""","""the property was under maintenance and this should have been published/informed before hand bc would not have chosen a place where the main facilities I’m interested in were closed""",4,Couple
21,"""Fantastic hotel overall! Really enjoyed our time and stay here! Rooms are very spacious and well-equipped! Professional staff which was very kind! Great sauna and hammam area and amazing breakfast!""","""The only thing might be the balcony which was not that well euqipped and it looked like people/hotel doesn't use it.""",10,Couple
21,"""Size of the rooms""","""Construction going on""",5,Single
21,"""Location and design""","""The bathroom and toilet floors are freezing. The water is cold. It doesn't heat up. We arrived at 8:00 PM and the staff hadn't resolved the issue by 11:20 PM. They simply said your underfloor heating isn't working and left.""",2,Group
23,"""Everything in the hotel was fantastic and super clean.""","""Everything in the hotel was fantastic and super clean.""",10,Couple
23,"""Amenities , location, rooms !""","""Sometimes staff was unprofessional""",8,Group
23,"""The hotel is located in a good place.""","""Jakuzi and steam room were not working most of the days and generally it is poorly managed.""",6,Family
23,"""Great location if you want to get to the Expo. That’s it.""","""Only one elevator was working and there have been multiple conferences at the hotel at the same time, which made it impossible to catch the elevator. Finally, they decided to test the fire alarm system in the morning and woke all the guests up and took us outside. """,5,Single
23,"""The hotel is nice modern.""","""The staff gave me an impression that they need more training. They never welcome me anytime I come back""",3,Single
23,"""a restaurant on the top floor and saunas were good""","""The level of service is poor and doesn't live up to the price paid. The bar on the ground floor doesn't match the property.""",1,Couple
23,"""1. Beautiful interior, comfortable rooms. 2. Comfortable bed. 3. There is a bathroom and shower. 4. Large windows. 5. Delicious food at the buffet. 6. Delicious dishes in the restaurant. 7. SPA with a pool, jacuzzi, hammam, sauna, salt room. 8. The largest shopping center in the city is nearby.""","""1. They wanted to give us a room with a city view, but we booked a room with a landmark view. 2. The cleaning was poor, and trash and dirty dishes were left in the room. 3. The toilet flush button didn't work. 4. The glass door in the toilet fell because its fasteners were unscrewed. 5. The air conditioning and ventilation in the room didn't work. The room was very stuffy. The windows didn't open. 6. When checking in, we were told at reception that check-out was at 6:00 PM. But at 12:00 PM, they asked us to leave the room, saying they didn't know anything about 6:00 PM.""",3,Couple
23,"""The view from the room facing the expo which is very nice""","""The front office management needs to improve. a few times I was at the reception and the staffs had their head down watching mobile phones""",7,Single
18,"""Lots of choices for the breakfast and the location was perfect""","""no swimming pool""",9,Couple
18,"""Hotel in perfect conditions Nice breakfast Great Restaurante Perfect Location""","""Need more elevators (lifts). Need to wait sometimes for longer Rate are high for the hotel""",9,Single
18,"""Brand new and modern hotel. Very comfortable and great location to see everything in Almaty on foot. Staff was great and super clean facility. Amazing breakfast. One of the best hotels we have stayed traveling we'll over 50 counties. It's better than many 5 star branded hotels.""","""None.""",10,Couple
